id,empty_slots,free_bikes,name,timestamp
2ef033cb4013b8fb679d40a86a3ec59a,0.0,2,Hôtel Agora Swiss Night,2024-12-13T16:59:50.596699Z
311847699a10034b0eea55378c305a5e,0.0,1,Café du Coin,2024-12-13T16:59:50.596002Z
31f71f56264fc596560b20fbb926bff3,0.0,1,ChezVelo,2024-12-13T16:59:50.596131Z
344c2b9ff1d533cedea4b88a232de87d,0.0,0,perron f | focacceria,2024-12-13T16:59:50.597594Z
3544b63b908dd0e6bb7073ef3f85dd18,0.0,1,Agentur UMSICHT,2024-12-13T16:59:50.595444Z
35ff16d077db64706b6583f10a5adc03,0.0,1,Amt für Umweltschutz,2024-12-13T16:59:50.595480Z
36008fbd510ef6114757aa81dad30462,0.0,1,Genèveroule Grand-Morillon,2024-12-13T16:59:50.596544Z
37f4a2813c645b67d18c06589ce84ff4,0.0,1,GZ Heuried Carvelobox,2024-12-13T16:59:50.596631Z
38bb4d9833845cedb336bfc14908c7fd,0.0,1,Migros Chavannes les Cèdres,2024-12-13T16:59:50.597281Z
393d99510b66a0e22861d252adee0fd7,0.0,1,Zweiradwerkstatt,2024-12-13T16:59:50.598605Z
3a0a56edd7d247a5111e984904569b7c,1.0,0,Holy Cargo Zürich,2024-12-13T16:59:50.596681Z
3b17a5c885acd391e53581de1d0b533c,1.0,0,MAN Diesel & Turbo AG,2024-12-13T16:59:50.597219Z
3e4c53476f6f5b2cdbc1994e36e9626c,0.0,1,Amarante - Restaurant du Jardin Botanique,2024-12-13T16:59:50.595463Z
3fbb390672bf0aef4fd5c57385ef169a,0.0,1,Centre sportif du Mottier Carvelobox,2024-12-13T16:59:50.596105Z
403f5c6103df2c78bd1f3a7e5a8a8cac,0.0,1,Safran Drogerie,2024-12-13T16:59:50.597728Z
409bba1a874761d14a82574bd963f311,0.0,1,Kovats Optik,2024-12-13T16:59:50.596904Z
41a0f76109ccc025320034249c8fc954,0.0,1,Confiserie Berger Worb,2024-12-13T16:59:50.596184Z
41daa620b70ca5cc86fbf5c1cc0b6673,0.0,1,SPAR Horgen,2024-12-13T16:59:50.597983Z
4232a0400535979d4c918ea6c2150890,0.0,1,89grad GmbH Carvelobox,2024-12-13T16:59:50.595405Z
427ac938b47f25385cba9762dcbbc4c9,0.0,1,Le Raymond Bar,2024-12-13T16:59:50.597135Z
42886ab7b9d5993d6f81794dfece366d,0.0,2,Siedlung Eichrain Carvelobox,2024-12-13T16:59:50.597862Z
432e6dd28bfef8b42a0cf5b6b5aa6f42,1.0,1,Grand Café Lochergut,2024-12-13T16:59:50.596588Z
43d8dcd0bf9fd873e2c53af94a79c661,0.0,1,Kafi fürDich,2024-12-13T16:59:50.596869Z
440d0946b0c52d53b4fbab6020feabd9,0.0,1,Terra Verde,2024-12-13T16:59:50.598155Z
44a4780052142b05aa8323f65d5f4f57,0.0,1,Medbase Apotheke Allschwil,2024-12-13T16:59:50.597255Z
459fd318f67cbf7facaeb9ca9e66ea2e,0.0,1,EPONYM bureau d'architectes,2024-12-13T16:59:50.596385Z
461a449e07e015f8ca733c63b757a540,0.0,1,TCS Camping Salavaux Plage,2024-12-13T16:59:50.598100Z
470ee836af997543d48c78fb6e86c3bb,0.0,1,La Couronne d'Or,2024-12-13T16:59:50.597027Z
471e847ccd6a5fbe7adfdda061a89e92,0.0,1,Utopia coffee shop St-Jean,2024-12-13T16:59:50.598303Z
486c113f96635a80899121948622d92c,0.0,1,Velokurierladen Bern,2024-12-13T16:59:50.598382Z
4980c3d3f62380f7da7ed07c81edf57f,0.0,1,TacTac Cycling,2024-12-13T16:59:50.598035Z
4988ba332caf59d841260c78ff8c7280,0.0,1,Turnhalle Tellenmatt Carvelobox,2024-12-13T16:59:50.598249Z
4a8acbf31b815b54598b4b4911e060e3,0.0,1,schlEmmersberg Lädeli,2024-12-13T16:59:50.597737Z
4b9ba6d3e645c1ecee7334effabeb2f5,0.0,1,GODSPEED ebike Bellinzona,2024-12-13T16:59:50.596570Z
4d2190af376cc2c6b1aac8d09a0947ec,0.0,1,Limmathof Baden,2024-12-13T16:59:50.597161Z
4df8f4dedfe8968d6bca66ade4072656,0.0,1,OLIVE-Ladencafé,2024-12-13T16:59:50.597505Z
4e38ee0b9a27dda0c6e944ba59bf0c76,0.0,1,Collectors Thun,2024-12-13T16:59:50.596174Z
4f0328e0eeea46951d57bc0e460b3045,0.0,1,Fateba,2024-12-13T16:59:50.596420Z
4f6129de57e842538562a0fd9130c929,0.0,1,UNIL / Service UniSEP,2024-12-13T16:59:50.598286Z
4f941def3e59765f5fd6a60c61a280eb,1.0,0,Caffè Bar Sattler,2024-12-13T16:59:50.596062Z
509edd49bde440b2158bbe12c4b56d16,1.0,1,Hyve,2024-12-13T16:59:50.596792Z
50fad569ce17c4ed94ad0dbd22c4b41f,0.0,1,Kantonsbibliothek Baselland,2024-12-13T16:59:50.596878Z
51439be116180a374e6ab660a9dfa9c9,0.0,0,Kunst Museum Winterthur | Reinhart am Stadtgarten,2024-12-13T16:59:50.596938Z
52b1f4bca9e02d316542d6c7b4d07b6d,0.0,1,Wilde Möhre,2024-12-13T16:59:50.598534Z
52e6579e253f88cbe916c220017a6c3b,0.0,1,e-motion e-Bike Welt Dietikon,2024-12-13T16:59:50.596323Z
5343d8db87322eae1ee14c37077ea0d1,0.0,1,FREITAG STORE GRÜNGASSE,2024-12-13T16:59:50.596518Z
55555203ce1c13ff03d3b95f34cd25d7,0.0,1,Albergo Losone,2024-12-13T16:59:50.595453Z
5573c0dbb83013792aefd451530f4b36,0.0,1,die Frischlinge,2024-12-13T16:59:50.596271Z
56025b4c287da492ec05337a290a4fd5,0.0,1,Fleur de Pains Ecublens,2024-12-13T16:59:50.596463Z
5612d654db491f519188e5bd684162cc,0.0,1,Epicerie 79A,2024-12-13T16:59:50.596376Z
56b9ff2ad3b3b296ae6776debe04a8d4,0.0,1,Atomic Café,2024-12-13T16:59:50.595542Z
5706b386fe853255e5bcbeb30b574528,0.0,1,terrago Männedorf,2024-12-13T16:59:50.598163Z
59749e7389d00fc51c321d692495263f,0.0,1,Berg und Tal,2024-12-13T16:59:50.595685Z
5a21c52def4c1390270d5fd1caf31726,0.0,1,Hotel illuster - urban & local,2024-12-13T16:59:50.596744Z
5b66f7587b092600262d240eb79b0033,0.0,1,Lidl Sportpark Bergholz Wil,2024-12-13T16:59:50.597152Z
5bfcaf709916c9bf352d6846ac5a0f98,0.0,1,Le Guidon Fribourg,2024-12-13T16:59:50.597099Z
5d0fe15d448cb48a6ee27a184eb8e830,0.0,1,Bächli Bergsport AG,2024-12-13T16:59:50.595579Z
5d2584a15d6db799d221e2d005de4dd5,1.0,0,Cottage Café,2024-12-13T16:59:50.596245Z
5d859dd9adbf3e33a93a2ab731578fb4,0.0,1,MIGROS,2024-12-13T16:59:50.597272Z
5df7fcd1b911ac1d9b68d26d9f510049,0.0,1,Bibliothek Zug,2024-12-13T16:59:50.595746Z
5e3696b390406e4c5dd132e916e2e15f,0.0,1,e-motion Bern,2024-12-13T16:59:50.596315Z
5e829699e6efb7a0a7c56a427f5f8e98,0.0,1,Confiserie Speck,2024-12-13T16:59:50.596201Z
5f20ac0df801277f5a956f567898d85f,0.0,1,Café Bar Grande,2024-12-13T16:59:50.595959Z
5fabef119c54d2c1d0fe0c7fecc408be,0.0,2,Hôtel Alpha Palmiers,2024-12-13T16:59:50.596708Z
60f28c40a43f9516e14df73a3ed7df76,0.0,1,Hotel Restaurant Rebstock,2024-12-13T16:59:50.596761Z
6440d578860f18b2a4280f7afee99f7e,0.0,3,Parking Indigo Lausanne Centre,2024-12-13T16:59:50.597550Z
6483111c33468d0513b3c1dfbde60c58,0.0,1,Siedlung BSH Frankental Carvelobox,2024-12-13T16:59:50.597771Z
65ae9b4426f0b5fa7124f060864a15be,0.0,1,Petrus,2024-12-13T16:59:50.597602Z
66b4f5d2b0688bf0b5b6c187e30fe53d,1.0,1,UM Unternehmen Mitte,2024-12-13T16:59:50.598268Z
66c3950323c557059d78c72ffa8e1466,0.0,1,TCS Camping Morges,2024-12-13T16:59:50.598091Z
67c6b3449cd06f94c611837dfda09e8e,0.0,1,Einkaufszentrum Zürich-Affoltern (DROPA Drogerie Apotheke),2024-12-13T16:59:50.596350Z
67d6e3ea5fb385e583c9e205f427ed4f,0.0,1,Meyhanè restaurant,2024-12-13T16:59:50.597263Z
681067a9092c6a59eb1b185fe242c891,0.0,1,Supermarché Migros Pully,2024-12-13T16:59:50.598027Z
694e4a6d1b46198f772b96dbfdeb2053,0.0,1,"Centre Mondial du Cyclisme UCI, Café-Restaurant Le Velodrome",2024-12-13T16:59:50.596096Z
696ca7429078e4c397200109a9ff5532,0.0,1,Kiöskli,2024-12-13T16:59:50.596886Z
6ad0f510bc002461836b66cdb0445a46,0.0,1,Voirie de Collex-Bossy Carvelobox,2024-12-13T16:59:50.598472Z
6b80121ce27c0308e460136d19073198,1.0,2,P + R Neufeld Carvelobox,2024-12-13T16:59:50.597523Z
6bf56d78368d708b7dce8c4826f507af,1.0,0,C.R.E.A.M | coffee bar food,2024-12-13T16:59:50.595932Z
6ced5e7d7377dd710d0545505b1fe54f,0.0,1,Zentrum Regensdorf,2024-12-13T16:59:50.598571Z
6d02a740c83f4a761a452893ed6d1e6e,0.0,1,einzigartig Frauenfeld,2024-12-13T16:59:50.596359Z
6d2734293db9c1779ec320ad2c51aebb,0.0,1,Confiserie Suard,2024-12-13T16:59:50.596209Z
6d3dceea55e425f047cc5d025415a71e,0.0,2,BikePort,2024-12-13T16:59:50.595765Z
6d8867f81b86250a1ced2a6402e58fb1,0.0,1,Arthénia Boutique,2024-12-13T16:59:50.595516Z
6da906f4f5e98c59e981bc3f9aed42c0,0.0,1,Rampe5,2024-12-13T16:59:50.597684Z
6fe1cb1b6722af46bda86e1ad17dcff8,0.0,1,Banana City Winerthur,2024-12-13T16:59:50.595622Z
70cda487fb86224ebf676462fe765c5e,0.0,0,Velostation Bulle,2024-12-13T16:59:50.598408Z
